%%TM,TN,TQ,Stat,Clas,M,PR,PA,PE,PT,MR,MA,ME,MT,H,Str,FX,FY,FZ,FVX,FVY,FVZ,FVR,FAX,FAY,FAZ,FT,FirstLat,firstLong,FirstAlt,MeasLat,MeasLon,MeasAlt,RNG_MIN,RNG_MAX,AZM_MIN,AZM_MAX,ELV_MIN,ELV_MAX
57,40,14,3,0,1,20664.91,178.9924,1.4346,21795.828,20665.41,178.8938,1.7606,21795.857,1,121262.09,384.9417,-20652.7969,585.1943,15.05,-2.13,6.58,16.56,0,0,0,21795.86,13.187486,78.163879,753.559998,13.187486,78.163879,753.5599976,18804.44,22525.38,176.39,181.59,0,3.83
57,40,14,3,0,1,20665.97,178.9114,1.6318,21796.357,20666.14,178.9428,1.7239,21796.389,1,162139.7,386.4531,-20653.5156,605.7026,10.81,-1.85,18.31,21.35,0,0,0,21796.39,13.187486,78.163879,753.559998,13.187486,78.163879,753.5599976,20465.97,20865.97,177.61,180.21,0,4.03
57,40,14,3,0,1,20667.3,178.9131,1.7048,21796.889,20666.49,178.8373,1.71,21796.887,1,119545.38,406.2,-20653.623,615.8053,20.9,-1.19,18.95,28.24,0,0,0,21796.89,13.187486,78.163879,753.559998,13.187486,78.163879,753.5499878,20467.3,20867.3,177.61,180.21,0,4.1
57,40,14,3,0,1,20667.88,178.8444,1.7337,21797.387,20666.46,178.9346,1.776,21797.367,1,46675.08,400.1681,-20653.5195,632.683,10.75,-0.7,23.42,25.78,0,0,0,21797.37,13.187486,78.163879,753.549988,13.187486,78.163879,753.5499878,20467.88,20867.88,177.54,180.14,0,4.13
57,40,14,3,0,1,20667.9,178.8751,1.7867,21797.867,20667.39,178.9166,1.8053,21797.852,1,45545.73,398.4602,-20653.6504,647.4367,7,-0.57,25,25.97,0,0,0,21797.85,13.187486,78.163879,753.549988,13.187486,78.163879,753.5499878,20467.9,20867.9,177.58,180.18,0,4.19
57,40,14,3,0,1,20669.14,178.8754,1.8644,21798.961,20679.63,178.8026,2.3944,21798.961,1,24120.38,420.0903,-20655.9648,781.4336,12.45,-1.42,66.18,67.36,0,0,0,21798.96,13.187486,78.163879,753.549988,13.187486,78.163879,753.5499878,20469.14,20869.14,177.58,180.18,0,4.26
57,40,14,3,0,1,20677.12,178.8177,2.2576,21799.461,20668.63,178.8364,1.7196,21799.494,1,125730.2,423.3243,-20655.8574,730.8723,11.4,-1.02,37.21,38.93,0,0,0,21799.49,13.187486,78.163879,753.549988,13.187486,78.163879,753.5499878,20477.12,20877.12,177.52,180.12,1.06,3.46
57,40,14,3,0,1,20674.41,178.8102,2.0775,21799.994,20679.73,178.9656,1.7248,21799.996,1,60902.47,407.7704,-20661.1934,701.97,4.65,-3.4,22.17,22.91,0,0,0,21800,13.187486,78.163879,753.549988,13.187486,78.163879,753.5499878,20474.41,20874.41,177.51,180.11,0.88,3.28
57,40,14,3,0,1,20679.26,178.863,1.976,21800.496,20679.9,178.7023,1.6897,21800.549,1,48773.48,429.8699,-20664.0488,677.7947,10.46,-3.97,11.81,16.27,0,0,0,21800.55,13.187486,78.163879,753.549988,13.187486,78.163879,753.5499878,20479.26,20879.26,177.56,180.16,0,4.38
57,40,14,3,0,1,20681.92,178.7939,1.8944,21801.049,20681.38,178.9606,1.6158,21801.08,1,85831.2,416.3745,-20667.5723,651.5808,5.3,-4.73,2.95,7.69,0,0,0,21801.08,13.187486,78.163879,753.549988,13.187486,78.163879,753.5499878,20481.92,20881.92,177.49,180.09,0,4.29
57,65,14,3,0,1,33586.29,296.9147,5.3159,22252.66,33632.25,296.9022,5.2176,22252.645,1,526102.69,-29848.0742,15147.6201,3081.7788,-91.13,146.9,-0.07,172.87,0,0,0,22252.64,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,31639.1,35533.47,294.31,299.51,2.92,7.72
57,65,14,3,0,1,33686.91,296.984,5.2489,22253.145,33713.09,297.0009,5.2583,22253.18,1,258979.69,-29903.0488,15231.5967,3085.7344,-97.6,154.12,2.61,182.44,0,0,0,22253.18,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,33486.91,33886.91,295.68,298.28,4.05,6.45
